balance,age,day,campaign,default,housing,loan,months_since_previous_contact,n_previous_contacts,poutcome,education,job,had_contact,is_single,uknown_contact
163.0,36,19,1,no,yes,no,No contact,6,success,tertiary,technician,False,False,False
671.0,30,6,2,no,yes,yes,No contact,No contact,failure,secondary,admin.,False,False,False
160.0,54,13,2,no,yes,yes,No contact,No contact,unknown,primary,blue-collar,False,False,True
1617.0,35,29,1,no,yes,no,5 - 8 months,No contact,unknown,secondary,services,True,True,False
774.0,36,6,1,no,no,no,No contact,No contact,other,secondary,technician,False,True,False
13164.900000000001,30,19,1,no,no,no,No contact,No contact,unknown,secondary,services,False,False,False
243.0,48,23,2,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,False
145.0,31,6,5,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,False
538.0,30,7,1,no,yes,yes,No contact,No contact,unknown,secondary,blue-collar,False,False,True
332.0,45,9,1,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
-110.0,50,9,1,no,no,no,No contact,3,failure,secondary,technician,False,True,False
223.0,30,23,2,no,yes,no,No contact,3,unknown,secondary,admin.,False,True,False
6.0,42,4,2,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,False
1190.0,39,14,1,no,no,no,0 - 5 months,No contact,failure,tertiary,management,True,True,False
-13.0,40,7,1,no,no,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
1938.0,25,12,3,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
6383.0,53,28,1,no,no,yes,0 - 5 months,No contact,unknown,tertiary,technician,True,True,False
52.0,36,4,2,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,False
77.0,26,13,1,no,no,no,0 - 5 months,No contact,unknown,tertiary,management,True,True,False
1349.0,34,29,7,no,no,yes,No contact,2,unknown,secondary,student,False,False,False
62.0,47,28,4,no,no,no,Around a year,No contact,unknown,secondary,blue-collar,True,False,True
1276.0,40,18,1,no,no,no,No contact,No contact,unknown,tertiary,management,False,True,False
-679.0,32,30,17,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
1246.0,46,21,2,no,no,no,5 - 8 months,2,unknown,secondary,blue-collar,True,False,False
1769.0,33,30,1,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,True
1270.0,45,10,11,no,yes,no,Around a year,No contact,unknown,secondary,blue-collar,True,True,False
12223.0,44,6,2,no,no,no,No contact,No contact,unknown,secondary,admin.,False,True,False
575.0,49,17,16,no,yes,no,No contact,No contact,unknown,unknown,management,False,False,True
0.0,23,3,1,yes,no,no,No contact,1,unknown,primary,services,False,False,False
2904.0,56,6,13,no,yes,no,No contact,No contact,unknown,primary,retired,False,True,True
-834.0,39,13,2,no,no,no,No contact,1,unknown,secondary,technician,False,False,True
-49.0,46,3,4,no,yes,yes,No contact,No contact,unknown,primary,retired,False,True,True
1012.0,40,9,1,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
160.0,33,28,5,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,True
3874.0,26,4,2,no,yes,no,No contact,1,unknown,secondary,admin.,False,True,False
6551.0,43,10,3,no,yes,no,No contact,No contact,other,secondary,services,False,False,False
2981.0,61,16,1,no,no,no,No contact,No contact,unknown,secondary,services,False,True,False
1966.0,52,6,4,no,yes,yes,No contact,5,unknown,secondary,admin.,False,False,False
0.0,26,3,2,no,yes,no,No contact,No contact,unknown,unknown,technician,False,True,False
-139.0,48,13,3,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,True
131.0,43,23,1,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
2058.0,36,3,5,no,yes,no,0 - 5 months,No contact,unknown,secondary,technician,True,False,False
1228.0,32,3,2,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,False
741.0,45,7,2,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
410.0,45,17,2,no,yes,no,No contact,No contact,failure,secondary,management,False,True,False
712.0,35,8,2,no,yes,yes,No contact,More than 6,unknown,primary,blue-collar,False,True,False
966.0,35,30,1,no,no,no,No contact,No contact,unknown,secondary,technician,False,False,False
414.0,48,16,1,no,no,no,No contact,No contact,unknown,tertiary,technician,False,False,False
681.0,53,13,1,no,no,no,No contact,No contact,unknown,primary,retired,False,False,True
36.0,60,1,1,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,True,False
215.0,39,17,2,no,yes,yes,No contact,No contact,unknown,secondary,technician,False,False,False
3382.0,56,15,1,no,no,yes,No contact,No contact,unknown,secondary,admin.,False,True,False
11269.0,32,4,1,no,yes,no,No contact,No contact,unknown,tertiary,technician,False,False,True
-757.0,26,17,4,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,True,True
47.0,33,17,1,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,False
1288.0,52,11,7,no,yes,no,No contact,3,failure,tertiary,management,False,False,False
25.0,52,12,1,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
1.0,32,30,3,no,yes,no,No contact,No contact,other,secondary,blue-collar,False,True,False
1308.0,37,18,2,no,yes,no,No contact,No contact,other,tertiary,management,False,False,False
3640.0,37,16,1,no,yes,no,No contact,No contact,unknown,tertiary,entrepreneur,False,False,True
6610.0,41,6,3,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,False
1.0,38,17,2,no,yes,yes,Around a year,6,unknown,secondary,admin.,True,True,True
2428.0,32,30,2,no,no,no,No contact,No contact,unknown,secondary,housemaid,False,False,False
5.0,45,18,1,no,no,no,No contact,No contact,unknown,tertiary,entrepreneur,False,False,False
4.0,56,17,2,no,yes,no,0 - 5 months,No contact,unknown,secondary,services,True,False,False
7708.0,52,7,1,no,yes,no,No contact,No contact,unknown,unknown,blue-collar,False,False,False
67.0,36,20,2,no,no,no,No contact,No contact,unknown,tertiary,technician,False,True,False
9072.0,32,17,1,no,no,no,No contact,No contact,failure,secondary,technician,False,False,False
382.0,56,29,2,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
0.0,33,5,1,no,yes,no,8 - 11 months,No contact,unknown,secondary,technician,True,True,False
-93.0,35,9,2,no,no,no,No contact,No contact,unknown,secondary,technician,False,False,False
-97.0,27,9,1,no,no,no,No contact,2,unknown,secondary,unemployed,False,False,False
653.0,35,20,1,no,no,no,No contact,No contact,other,tertiary,management,False,True,True
2799.0,50,15,5,no,yes,no,No contact,More than 6,failure,secondary,admin.,False,False,False
1750.0,26,14,9,no,no,yes,No contact,No contact,unknown,secondary,services,False,True,False
99.0,28,7,11,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,False
233.0,32,13,2,yes,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
3107.0,43,4,2,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,True,False
1120.0,51,5,2,no,yes,no,No contact,No contact,unknown,unknown,technician,False,False,False
1710.0,49,15,4,no,no,no,No contact,No contact,unknown,tertiary,technician,False,True,True
449.0,38,17,1,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,False
-208.0,30,16,3,no,no,yes,No contact,No contact,other,secondary,admin.,False,True,False
241.0,49,22,3,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,True,False
986.0,30,15,1,no,no,yes,No contact,No contact,unknown,primary,retired,False,False,False
2870.0,31,16,1,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,False
380.0,29,11,1,no,no,no,No contact,No contact,unknown,secondary,services,False,False,False
-80.0,33,30,16,no,yes,no,No contact,4,unknown,secondary,blue-collar,False,True,True
124.0,56,19,1,no,yes,no,No contact,No contact,success,tertiary,management,False,False,False
114.0,46,3,2,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
0.0,29,28,4,no,no,no,No contact,1,unknown,secondary,management,False,False,False
110.0,33,21,2,no,yes,no,No contact,No contact,unknown,primary,retired,False,False,False
551.0,51,11,19,no,no,no,No contact,No contact,unknown,secondary,unemployed,False,False,True
1000.0,37,21,2,no,no,no,No contact,No contact,unknown,tertiary,technician,False,True,False
-32.0,36,2,4,no,yes,no,No contact,No contact,unknown,secondary,technician,False,True,True
1055.0,49,29,2,no,no,no,0 - 5 months,4,failure,unknown,entrepreneur,True,False,True
640.0,32,6,3,no,yes,no,Around a year,No contact,unknown,tertiary,management,True,False,False
0.0,45,19,2,no,no,no,No contact,No contact,failure,primary,housemaid,False,False,False
1063.0,54,31,1,no,yes,no,No contact,No contact,unknown,tertiary,technician,False,False,False
1327.0,60,5,1,no,no,no,No contact,No contact,unknown,secondary,admin.,False,True,True
783.0,45,20,2,no,yes,no,No contact,3,failure,primary,blue-collar,False,True,False
6332.0,46,30,3,no,no,no,No contact,2,unknown,secondary,admin.,False,False,True
608.0,43,4,2,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,True
3369.0,33,18,5,no,no,no,Around a year,No contact,unknown,tertiary,management,True,False,False
0.0,33,20,1,no,no,no,Around a year,No contact,unknown,secondary,blue-collar,True,False,False
782.0,53,17,1,no,yes,yes,No contact,3,unknown,unknown,admin.,False,False,False
284.0,35,30,3,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
3773.0,55,30,1,no,no,no,0 - 5 months,No contact,unknown,tertiary,technician,True,False,True
58.0,43,29,7,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,True
-126.0,38,20,1,no,no,no,No contact,No contact,unknown,secondary,services,False,False,False
1088.0,46,11,2,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,False
259.0,39,13,4,no,yes,no,No contact,No contact,unknown,secondary,technician,False,True,False
1187.0,48,5,1,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,True
385.0,57,29,4,no,yes,no,No contact,No contact,unknown,tertiary,unemployed,False,False,True
3689.0,38,29,1,no,yes,no,No contact,No contact,unknown,secondary,services,False,True,False
840.0,31,30,2,no,no,no,No contact,2,unknown,secondary,unemployed,False,True,False
1425.0,32,29,4,no,no,no,No contact,No contact,unknown,tertiary,technician,False,True,True
1698.0,42,16,2,no,yes,yes,No contact,3,unknown,primary,blue-collar,False,True,True
33.0,42,29,2,no,no,no,0 - 5 months,No contact,unknown,secondary,admin.,True,False,False
360.0,55,14,1,no,yes,no,No contact,No contact,failure,primary,blue-collar,False,False,True
5787.0,34,27,2,no,yes,no,No contact,No contact,unknown,secondary,retired,False,False,False
-137.0,59,19,2,no,yes,no,No contact,No contact,failure,tertiary,management,False,False,True
2895.0,42,30,3,no,no,no,No contact,No contact,unknown,secondary,admin.,False,True,False
1530.0,50,2,1,no,no,no,No contact,No contact,failure,primary,blue-collar,False,False,False
5561.0,26,21,1,no,yes,no,0 - 5 months,No contact,unknown,secondary,admin.,True,True,False
830.0,35,19,4,no,yes,no,0 - 5 months,No contact,unknown,secondary,admin.,True,False,False
3.0,39,4,1,no,no,no,5 - 8 months,No contact,unknown,secondary,blue-collar,True,False,True
0.0,33,22,2,no,yes,yes,No contact,No contact,unknown,secondary,admin.,False,True,True
2692.0,46,19,2,no,yes,yes,No contact,1,unknown,secondary,blue-collar,False,False,True
118.0,26,15,1,no,yes,no,No contact,No contact,unknown,secondary,management,False,True,False
883.0,60,19,1,no,yes,yes,No contact,No contact,unknown,secondary,housemaid,False,True,True
625.0,56,16,2,no,yes,no,No contact,No contact,unknown,secondary,technician,False,True,False
56.0,39,23,1,no,yes,yes,No contact,No contact,unknown,secondary,retired,False,False,False
-198.0,48,19,1,no,yes,no,No contact,No contact,unknown,secondary,management,False,False,False
-717.0,57,2,4,no,yes,yes,Around a year,No contact,unknown,primary,blue-collar,True,False,False
1218.0,46,13,2,no,yes,no,No contact,No contact,unknown,primary,retired,False,False,True
-172.0,41,9,2,no,yes,yes,No contact,No contact,unknown,secondary,technician,False,False,False
3738.0,44,14,3,no,no,no,8 - 11 months,No contact,unknown,secondary,technician,True,True,True
1576.0,47,12,1,no,yes,no,No contact,3,unknown,primary,housemaid,False,False,True
499.0,26,12,1,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,False
36.0,45,18,4,no,yes,no,No contact,No contact,failure,primary,blue-collar,False,False,True
65.0,44,14,1,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,False
7506.0,42,6,1,no,yes,no,No contact,No contact,unknown,tertiary,technician,False,False,False
145.0,41,13,2,no,yes,no,No contact,No contact,unknown,primary,housemaid,False,False,False
27.0,30,31,2,no,yes,no,No contact,3,other,tertiary,self-employed,False,False,False
878.0,46,5,1,no,yes,no,No contact,2,unknown,secondary,blue-collar,False,False,False
577.0,47,8,1,no,yes,no,No contact,No contact,other,secondary,technician,False,False,True
2031.0,34,18,1,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,True,False
-3.0,57,5,1,no,no,yes,No contact,No contact,unknown,tertiary,admin.,False,False,True
2948.0,35,27,3,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,True,False
245.0,26,20,1,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,False
3837.0,36,30,4,no,no,no,No contact,No contact,unknown,secondary,management,False,False,True
0.0,38,12,1,no,no,yes,No contact,No contact,unknown,secondary,technician,False,True,False
2363.0,26,29,3,no,no,no,8 - 11 months,No contact,unknown,tertiary,housemaid,True,False,True
9916.0,32,7,2,yes,yes,no,No contact,No contact,failure,secondary,self-employed,False,False,True
893.0,51,12,2,no,yes,no,0 - 5 months,No contact,unknown,secondary,retired,True,False,True
2102.0,33,10,15,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
4568.0,28,30,2,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,False
11.0,38,27,1,no,no,yes,No contact,No contact,unknown,tertiary,self-employed,False,False,False
0.0,38,20,2,no,yes,yes,No contact,No contact,unknown,secondary,student,False,False,False
3109.0,37,14,8,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,True
1161.0,41,20,3,no,no,no,No contact,No contact,unknown,tertiary,retired,False,False,False
116.0,41,12,4,no,yes,yes,No contact,No contact,failure,tertiary,management,False,False,True
242.0,40,16,1,no,yes,no,No contact,No contact,unknown,primary,housemaid,False,False,True
1293.0,57,13,2,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,True
3.0,29,22,2,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
1020.0,55,5,1,no,no,yes,No contact,No contact,unknown,secondary,admin.,False,False,False
2387.0,34,14,5,no,yes,yes,No contact,2,unknown,primary,management,False,False,True
-25.0,28,7,4,no,yes,no,No contact,No contact,unknown,primary,housemaid,False,True,False
7606.0,36,17,5,no,yes,no,No contact,6,unknown,tertiary,management,False,False,False
10583.0,37,13,1,no,yes,no,No contact,No contact,unknown,unknown,student,False,True,True
354.0,20,25,1,no,no,no,No contact,No contact,unknown,tertiary,technician,False,False,False
-3.0,44,20,2,no,yes,no,No contact,No contact,other,secondary,admin.,False,False,False
2227.0,44,12,2,no,no,no,No contact,No contact,unknown,primary,blue-collar,False,True,True
32.0,35,12,2,no,yes,no,No contact,No contact,unknown,primary,management,False,False,False
193.0,42,20,2,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
0.0,29,31,4,no,yes,no,Around a year,No contact,unknown,tertiary,management,True,True,False
426.0,30,20,2,no,yes,no,No contact,No contact,failure,unknown,admin.,False,False,False
1463.0,54,19,4,no,no,no,No contact,1,unknown,secondary,housemaid,False,False,True
0.0,49,17,1,no,no,no,No contact,No contact,other,tertiary,self-employed,False,False,True
